date,product
2015-01-05,sh510050
2015-01-27,sz159915
2015-04-13,sh510050
2015-04-14,sz159915
2015-04-15,sh510050
2015-04-23,sz159915
2015-04-28,sh510050
2015-04-29,sz159915
2015-04-30,sh510050
2015-05-05,sz159915
2015-06-24,sh510050
2015-06-25,空仓
2015-07-07,sh511010
2015-08-10,sz159915
2015-08-18,sh511010
2015-08-21,空仓
2015-08-27,sh511010
2015-09-14,空仓
2015-09-24,sh511010
2015-10-08,sh510050
2015-10-12,sz159915
2015-12-02,sh510050
2015-12-03,sz159915
2015-12-14,sh511010
2015-12-21,sz159915
2015-12-22,sh510050
2015-12-24,sz159915
2015-12-25,sh511010
2016-02-03,空仓
2016-02-15,sh511010
2016-02-22,sz159915
2016-02-25,空仓
2016-02-26,sh511010
2016-03-04,sh510050
2016-04-05,sz159915
2016-04-26,sh510050
2016-04-27,空仓
2016-05-03,sh510050
2016-05-05,sz159915
2016-05-06,空仓
2016-05-30,sh511010
2016-05-31,sz159915
2016-06-08,sh511010
2016-06-15,sz159915
2016-07-12,sh510050
2016-07-19,sz159915
2016-07-27,sh510050
2016-09-06,sz159915
2016-09-07,sh510050
2016-09-08,sz159915
2016-09-09,sh510050
2016-09-19,sz159915
2016-09-22,空仓
2016-09-28,sh511010
2016-10-10,sz159915
2016-10-14,sh511010
2016-10-18,sz159915
2016-10-19,sh511010
2016-10-24,sh510050
2016-12-15,空仓
2017-01-19,sh511010
2017-01-24,sh510050
2017-02-28,sz159915
2017-03-30,空仓
2017-04-05,sz159915
2017-04-06,sh510050
2017-04-07,sz159915
2017-04-10,sh510050
2017-04-14,空仓
2017-05-22,sh510050
2017-07-04,sz159915
2017-07-06,sh510050
2017-07-07,sz159915
2017-07-10,sh510050
2017-08-16,sz159915
2017-09-21,sh510050
2017-09-27,sz159915
2017-10-17,sh510050
2017-12-04,sh511010
2017-12-05,sh510050
2017-12-07,sh511010
2017-12-08,sh510050
2017-12-12,sh511010
2017-12-14,空仓
2017-12-15,sh511010
2017-12-18,空仓
2017-12-19,sh511010
2018-01-03,sz159915
2018-01-04,sh510050
2018-01-11,sz159915
2018-01-12,sh510050
2018-02-09,sh511010
2018-02-28,sz159915
2018-03-07,sh511010
2018-03-09,sz159915
2018-04-17,sh511010
2018-05-04,sz159915
2018-05-11,sh511010
2018-05-14,sh510050
2018-05-16,sz159915
2018-05-17,sh511010
2018-05-21,sz159915
2018-05-24,sh511010
2018-05-25,sz159915
2018-05-28,sh510050
2018-05-29,空仓
2018-05-30,sh511010
2018-06-01,空仓
2018-06-05,sh510050
2018-06-08,空仓
2018-06-11,sh510050
2018-06-13,空仓
2018-06-14,sh511010
2018-07-25,sz159915
2018-08-01,sh511010
2018-08-07,sh510050
2018-08-15,sh511010
2018-08-17,空仓
2018-08-21,sh510050
2018-08-28,空仓
2018-08-29,sh511010
2018-09-04,空仓
2018-09-07,sh510050
2018-09-11,空仓
2018-09-19,sh510050
2018-10-08,sh511010
2018-10-09,sh510050
2018-10-10,sh511010
2018-10-22,sh510050
2018-10-23,sh511010
2018-10-24,sh510050
2018-10-29,sh511010
2018-10-31,sh510050
2018-11-01,sh511010
2018-11-02,sh510050
2018-11-05,sh511010
2018-11-13,sz159915
2018-11-27,sh511010
2018-11-28,sz159915
2018-12-10,sh511010
2019-01-25,sh510050
2019-02-15,sz159915
2019-02-19,sh510050
2019-02-21,sz159915
2019-04-11,sh510050
2019-05-09,空仓
2019-05-17,sh511010
2019-06-14,sh510050
2019-07-15,sz159915
