date,product
2015-01-05,sh510050
2015-01-20,sz159915
2015-01-21,sh510050
2015-01-26,sz159915
2015-04-08,sh510050
2015-04-09,sz159915
2015-04-13,sh510050
2015-04-23,sz159915
2015-04-27,sh510050
2015-04-29,sz159915
2015-06-19,空仓
2015-07-03,sh511010
2015-07-10,空仓
2015-07-13,sh511010
2015-08-07,sz159915
2015-08-14,sh511010
2015-08-17,sz159915
2015-08-18,空仓
2015-08-26,sh511010
2015-09-10,空仓
2015-09-21,sh511010
2015-09-28,sh510050
2015-09-30,sz159915
2015-12-02,sh510050
2015-12-03,sz159915
2015-12-09,sh511010
2015-12-18,sz159915
2015-12-22,sh511010
2015-12-23,sh510050
2015-12-24,sh511010
2015-12-25,sh510050
2015-12-28,sh511010
2015-12-30,sh510050
2016-01-04,sh511010
2016-01-29,空仓
2016-02-03,sh511010
2016-02-18,sz159915
2016-02-25,sh511010
2016-03-04,sh510050
2016-03-30,sz159915
2016-04-21,sh510050
2016-04-22,空仓
2016-04-27,sh510050
2016-04-28,空仓
2016-04-29,sh510050
2016-05-03,sz159915
2016-05-04,空仓
2016-05-25,sh511010
2016-05-31,sz159915
2016-06-03,sh511010
2016-06-07,空仓
2016-06-08,sz159915
2016-06-13,sh510050
2016-06-15,sz159915
2016-06-21,sh510050
2016-06-22,sz159915
2016-07-11,sh510050
2016-07-13,sz159915
2016-07-18,sh510050
2016-07-19,sz159915
2016-07-27,sh510050
2016-08-04,sh511010
2016-08-08,sh510050
2016-09-07,sz159915
2016-09-09,sh510050
2016-09-13,sz159915
2016-09-19,空仓
2016-09-23,sh511010
2016-09-26,空仓
2016-09-27,sh511010
2016-10-10,sz159915
2016-10-17,sh511010
2016-10-24,sh510050
2016-12-14,空仓
2017-01-13,sh511010
2017-01-16,空仓
2017-01-17,sh511010
2017-01-20,sh510050
2017-02-23,sz159915
2017-03-29,sh511010
2017-03-30,空仓
2017-04-05,sz159915
2017-04-06,sh510050
2017-04-17,sh511010
2017-04-18,空仓
2017-04-26,sh510050
2017-04-27,空仓
2017-05-16,sh510050
2017-05-17,空仓
2017-05-19,sh510050
2017-07-03,sz159915
2017-07-06,sh510050
2017-08-15,sz159915
2017-09-19,sh510050
2017-09-20,sz159915
2017-10-16,sh510050
2017-11-30,sh511010
2017-12-04,sh510050
2017-12-07,sh511010
2017-12-11,sh510050
2017-12-12,空仓
2017-12-14,sh511010
2018-01-02,sh510050
2018-01-08,sz159915
2018-01-09,sh510050
2018-02-08,sh511010
2018-02-28,sz159915
2018-03-01,sh511010
2018-03-09,sz159915
2018-04-13,sh511010
2018-04-27,sz159915
2018-05-03,sh511010
2018-05-10,sh510050
2018-05-15,sz159915
2018-05-18,sh510050
2018-05-22,sz159915
2018-05-29,空仓
2018-06-01,sh510050
2018-06-08,空仓
2018-06-11,sh511010
2018-06-28,空仓
2018-06-29,sh511010
2018-07-20,sz159915
2018-07-30,sh510050
2018-08-14,sh511010
2018-08-17,空仓
2018-08-21,sh510050
2018-08-22,空仓
2018-08-29,sh511010
2018-08-30,空仓
2018-08-31,sh511010
2018-09-03,空仓
2018-09-04,sh510050
2018-09-07,空仓
2018-09-18,sh510050
2018-10-08,sh511010
2018-10-10,sh510050
2018-10-11,sh511010
2018-10-22,sh510050
2018-10-29,sh511010
2018-11-12,sz159915
2018-12-06,sh511010
2018-12-12,sz159915
2018-12-13,sh511010
2019-01-23,sh510050
2019-02-18,sz159915
2019-04-08,sh510050
2019-05-07,空仓
2019-05-13,sh511010
2019-06-11,sh510050
2019-07-15,sz159915
2019-08-01,sh511010
2019-08-08,sz159915
2019-08-09,sh511010
2019-08-12,sz159915
2019-08-13,sh511010
2019-08-16,sz159915
2019-09-26,sh510050
2019-09-27,sz159915
2019-09-30,sh510050
2019-10-10,sz159915
2019-10-11,sh510050
2019-10-18,空仓
2019-10-22,sh510050
2019-10-23,空仓
2019-10-25,sh510050
2019-10-28,sz159915
2019-10-29,sh510050
2019-10-30,空仓
2019-10-31,sh510050
2019-11-05,sz159915
2019-11-06,sh510050
2019-11-07,sz159915
2019-11-12,sh510050
2019-11-13,sz159915
2019-11-27,sh511010
2019-12-06,sz159915
2019-12-11,sh511010
2019-12-12,sz159915
2020-02-03,sh511010
2020-02-04,sz159915
2020-03-12,sh511010
2020-04-17,sz159915
2020-04-22,sh510050
2020-04-24,sz159915
2020-04-29,sh510050
2020-04-30,sz159915
2020-07-06,sh510050
2020-07-07,sz159915
2020-08-11,sh511010
2020-08-12,空仓
2020-08-13,sh511010
2020-08-14,空仓
2020-08-17,sh510050
2020-08-20,空仓
2020-08-21,sh510050
2020-09-04,空仓
2020-09-11,sh510050
2020-09-17,空仓
2020-09-21,sh510050
2020-09-23,sh511010
2020-09-24,空仓
2020-09-25,sh511010
2020-10-12,sh510050
2020-10-20,sz159915
2020-10-23,sh510050
2020-10-26,sz159915
2020-11-11,sh510050
2020-11-13,sh511010
2020-11-18,sh510050
2020-12-10,sh511010
2020-12-11,空仓
2020-12-14,sz159915
2020-12-16,sh510050
2020-12-18,sz159915
2021-02-04,sh510050
2021-02-09,sz159915
2021-02-22,sh510050
2021-02-24,空仓
2021-02-25,sh510050
2021-02-26,sh511010
2021-03-01,空仓
2021-03-02,sh511010
2021-03-04,空仓
2021-03-05,sh511010
2021-03-16,空仓
2021-03-17,sh511010
2021-03-29,空仓
2021-03-30,sh511010
2021-04-08,空仓
2021-04-09,sz159915
2021-07-27,sh511010
2021-07-29,sz159915
2021-07-30,sh511010
2021-08-04,sz159915
2021-08-12,sh511010
2021-08-27,sz159915
2021-08-30,sh511010
2021-09-01,sh510050
2021-09-02,空仓
2021-09-03,sh511010
2021-09-06,空仓
2021-09-07,sh510050
2021-09-09,sh511010
2021-09-15,空仓
2021-09-17,sh510050
2021-09-22,空仓
2021-09-24,sh510050
2021-10-15,sz159915
2021-10-21,sh510050
2021-10-25,sz159915
2021-10-26,sh510050
2021-10-27,sz159915
2021-12-07,sh511010
2021-12-08,sz159915
2021-12-09,sh510050
2021-12-16,sz159915
2021-12-20,sh511010
2021-12-21,sh510050
2021-12-22,sh511010
2021-12-23,sh510050
2021-12-24,sh511010
2021-12-28,sh510050
2021-12-29,sh511010
2021-12-30,sh510050
2022-01-06,sh511010
2022-02-23,空仓
2022-02-24,sh511010
2022-02-25,空仓
2022-03-18,sh511010
2022-03-21,空仓
2022-03-24,sh511010
2022-03-31,空仓
2022-04-01,sh511010
2022-04-18,sh510050
2022-04-20,sh511010
2022-05-30,sz159915
2022-07-26,sh511010
2022-09-13,sh510050
2022-09-14,sh511010
2022-09-16,空仓
2022-10-24,sh511010
2022-10-25,空仓
2022-10-26,sz159915
2022-10-27,sh511010
2022-11-01,sz159915
