,date,product
231,2021-08-11,sh511010
232,2021-08-26,sz159915
233,2021-08-27,sh511010
234,2021-09-01,空仓
235,2021-09-03,sh511010
236,2021-09-07,sh510050
237,2021-09-08,sh511010
238,2021-09-13,sh510050
239,2021-09-14,空仓
240,2021-09-23,sh510050
241,2021-10-14,sz159915
242,2021-10-15,sh510050
243,2021-10-18,sz159915
244,2021-10-25,sh510050
245,2021-10-27,sz159915
246,2021-10-28,sh510050
247,2021-10-29,sz159915
248,2021-12-08,sh510050
249,2021-12-15,sz159915
250,2021-12-17,sh510050
251,2021-12-21,sh511010
252,2021-12-28,sh510050
253,2022-01-05,sh511010
254,2022-02-22,空仓
255,2022-02-23,sh511010
256,2022-02-24,空仓
257,2022-03-23,sh511010
258,2022-04-15,sh510050
259,2022-04-20,sh511010
260,2022-05-27,sz159915
261,2022-07-25,sh511010
262,2022-08-11,sz159915
263,2022-08-12,sh511010
264,2022-08-23,sz159915
265,2022-08-24,sh511010
266,2022-09-09,sh510050
267,2022-09-13,sh511010
268,2022-09-16,空仓
