date,product
2015-01-05,sh510050
2015-01-19,sz159915
2015-04-08,sh510050
2015-04-09,sz159915
2015-04-13,sh510050
2015-04-14,sz159915
2015-04-15,sh510050
2015-04-27,sz159915
2015-04-28,sh510050
2015-04-29,sz159915
2015-04-30,sh510050
2015-05-05,sz159915
2015-06-18,空仓
2015-06-29,sh511010
2015-06-30,空仓
2015-07-07,sh511010
2015-07-23,sh510050
2015-07-24,sz159915
2015-07-27,sh511010
2015-07-29,sz159915
2015-07-30,sh511010
2015-07-31,sz159915
2015-08-07,sh511010
2015-08-11,sz159915
2015-08-12,sh511010
2015-08-13,空仓
2015-08-27,sh511010
2015-09-08,空仓
2015-09-09,sh511010
2015-09-10,空仓
2015-09-14,sh511010
2015-09-22,sh510050
2015-09-28,sz159915
2015-12-02,sh510050
2015-12-03,sz159915
2015-12-04,sh511010
2015-12-15,sz159915
2015-12-16,sh511010
2015-12-17,sz159915
2015-12-21,sh510050
2015-12-29,sz159915
2015-12-31,sh511010
2016-01-25,空仓
2016-01-26,sh511010
2016-01-27,空仓
2016-01-29,sh511010
2016-02-15,空仓
2016-02-16,sz159915
2016-02-25,sh511010
2016-03-01,sh510050
2016-03-23,sz159915
2016-04-20,sh511010
2016-04-21,sh510050
2016-04-27,空仓
2016-05-05,sh510050
2016-05-06,空仓
2016-05-12,sh511010
2016-05-16,空仓
2016-05-19,sh511010
2016-05-31,sh510050
2016-06-01,sh511010
2016-06-02,sz159915
2016-06-14,sh510050
2016-06-15,sz159915
2016-06-21,sh510050
2016-06-22,sz159915
2016-07-12,sh510050
2016-07-13,sz159915
2016-07-21,sh510050
2016-08-01,sh511010
2016-08-12,sh510050
2016-08-26,sz159915
2016-08-31,sh510050
2016-09-06,sz159915
2016-09-12,空仓
2016-09-22,sh511010
2016-10-10,sz159915
2016-10-12,sh511010
2016-10-18,sz159915
2016-10-21,sh510050
2016-12-14,空仓
2017-01-10,sh511010
2017-01-16,sh510050
2017-02-17,sz159915
2017-02-20,sh510050
2017-02-21,sz159915
2017-03-30,空仓
2017-03-31,sh510050
2017-04-14,sh511010
2017-04-17,sh510050
2017-04-18,空仓
2017-05-12,sh510050
2017-06-28,sz159915
2017-06-29,sh510050
2017-07-03,sz159915
2017-07-04,sh510050
2017-07-07,sz159915
2017-07-10,sh510050
2017-08-10,sz159915
2017-09-12,sh510050
2017-09-14,sz159915
2017-09-26,sh511010
2017-09-27,空仓
2017-10-09,sz159915
2017-10-12,sh510050
2017-10-13,sz159915
2017-10-16,sh510050
2017-12-01,sh511010
2017-12-05,sh510050
2017-12-06,空仓
2017-12-08,sh511010
2017-12-28,sh510050
2017-12-29,空仓
2018-01-02,sz159915
2018-01-04,sh510050
2018-02-08,sh511010
2018-03-06,sz159915
2018-03-23,sh511010
2018-03-26,sz159915
2018-04-09,sh511010
2018-04-16,sz159915
2018-04-17,sh511010
2018-04-23,sz159915
2018-04-25,sh511010
2018-05-07,sz159915
2018-05-14,sh510050
2018-05-16,sz159915
2018-05-17,sh510050
2018-05-21,sz159915
2018-05-28,sh510050
2018-05-30,空仓
2018-05-31,sh510050
2018-06-01,空仓
2018-06-04,sh511010
2018-06-12,空仓
2018-06-13,sh511010
2018-06-22,空仓
2018-06-25,sh511010
2018-07-16,sz159915
2018-07-24,sh510050
2018-08-03,sh511010
2018-08-07,sh510050
2018-08-08,sh511010
2018-08-09,sh510050
2018-08-15,sh511010
2018-08-17,空仓
2018-08-28,sh510050
2018-09-03,空仓
2018-09-04,sh510050
2018-09-05,空仓
2018-09-13,sh510050
2018-09-17,sh511010
2018-09-18,sh510050
2018-10-09,sh511010
2018-10-10,sh510050
2018-10-11,sh511010
2018-10-17,sh510050
2018-10-18,sh511010
2018-10-22,sh510050
2018-10-23,sh511010
2018-11-02,sh510050
2018-11-06,sh511010
2018-11-07,sz159915
2018-11-29,sh511010
2018-12-03,sz159915
2018-12-07,sh511010
2019-01-18,sh510050
2019-02-15,sz159915
2019-04-04,sh510050
2019-05-06,空仓
2019-05-08,sh511010
2019-06-05,sh510050
2019-06-06,sh511010
2019-06-10,sh510050
2019-07-12,sz159915
2019-07-18,sh511010
2019-07-19,sz159915
2019-07-26,sh511010
2019-07-30,sz159915
2019-08-06,sh511010
2019-08-15,sz159915
2019-09-26,sh510050
2019-09-27,sz159915
2019-09-30,sh511010
2019-10-08,sh510050
2019-10-09,sh511010
2019-10-11,空仓
2019-10-14,sh510050
2019-10-18,sh511010
2019-10-21,sh510050
2019-10-23,空仓
2019-10-25,sh510050
2019-10-30,sz159915
2019-11-01,sh510050
2019-11-04,sz159915
2019-11-06,sh510050
2019-11-07,sz159915
2019-11-22,sh511010
2019-12-06,sz159915
2020-02-03,sh511010
2020-02-04,sz159915
2020-03-12,sh511010
2020-04-14,sz159915
2020-04-15,sh510050
2020-04-20,sz159915
2020-06-08,sh510050
2020-06-10,sz159915
2020-07-06,sh510050
2020-07-07,sz159915
2020-07-27,sh510050
2020-07-28,sz159915
2020-08-07,sh511010
2020-08-11,空仓
2020-08-12,sh510050
2020-09-07,空仓
2020-09-08,sh510050
2020-09-09,空仓
2020-09-15,sh510050
2020-09-17,空仓
2020-09-18,sh510050
2020-09-21,sh511010
2020-10-12,sz159915
2020-11-06,sh511010
2020-11-09,sz159915
2020-11-10,sh510050
2020-11-13,sz159915
2020-11-16,sh510050
2020-11-17,空仓
2020-11-18,sh510050
2020-11-19,sz159915
2020-11-20,sh510050
2020-12-08,sz159915
2020-12-09,sh510050
2020-12-11,空仓
2020-12-14,sz159915
2021-01-19,sh510050
2021-01-20,sz159915
2021-01-29,sh510050
2021-02-01,sz159915
2021-02-19,sh510050
2021-02-24,空仓
2021-02-25,sh510050
2021-02-26,空仓
2021-03-01,sh511010
2021-03-03,sh510050
2021-03-04,sh511010
2021-03-23,空仓
2021-03-24,sh511010
2021-03-29,空仓
