date,product
2022-04-07,sh511010
2022-04-08,sh510050
2022-04-11,sh511010
2022-04-13,sh510050
2022-04-19,sh511010
2022-05-11,空仓
2022-05-12,sh511010
2022-05-23,sz159915
2022-05-24,sh511010
2022-05-25,sz159915
2022-07-21,sh511010
2022-08-22,sz159915
2022-08-24,sh511010
2022-08-31,sh510050
2022-09-01,sh511010
2022-09-14,空仓
2022-10-19,sh511010
2022-10-20,空仓
2022-10-21,sz159915
2022-10-24,sh511010
2022-10-25,空仓
2022-10-26,sz159915
2022-10-28,sh511010
2022-11-02,sz159915
