date,product
2015-12-18,sh511010
2015-12-21,sh511010
2015-12-22,sz159915
2015-12-23,sh510050
2015-12-24,sz159915
2015-12-25,sz159915
2015-12-28,sh511010
2015-12-29,sh511010
2015-12-30,sh511010
2015-12-31,sh511010
2016-01-04,sh511010
2016-01-05,sh511010
2016-01-06,sh511010
2016-01-07,sh511010
2016-01-08,sh511010
2016-01-11,sh511010
2016-01-12,sh511010
2016-01-13,sh511010
2016-01-14,sh511010
2016-01-15,sh511010
2016-01-18,sh511010
2016-01-19,sh511010
2016-01-20,sh511010
2016-01-21,sh511010
2016-01-22,sh511010
2016-01-25,sh511010
2016-01-26,sh511010
2016-01-27,sh511010
2016-01-28,sh511010
2016-01-29,sh511010
2016-02-01,sh511010
2016-02-02,sh511010
2016-02-03,sh511010
2016-02-04,空仓
2016-02-05,空仓
2016-02-15,sh511010
2016-02-16,sh511010
2016-02-17,sh511010
2016-02-18,sh511010
2016-02-19,sh511010
2016-02-22,sz159915
2016-02-23,sh511010
2016-02-24,sz159915
2016-02-25,sh511010
2016-02-26,sh511010
2016-02-29,sh511010
2016-03-01,sh511010
2016-03-02,sh511010
2016-03-03,sh511010
2016-03-04,sh510050
2016-03-07,sh510050
2016-03-08,sh510050
2016-03-09,sh510050
2016-03-10,sh510050
2016-03-11,sh510050
2016-03-14,sh510050
2016-03-15,sh510050
2016-03-16,sh510050
2016-03-17,sh510050
2016-03-18,sh510050
2016-03-21,sh510050
2016-03-22,sh510050
2016-03-23,sh510050
2016-03-24,sh510050
2016-03-25,sh510050
2016-03-28,sh510050
2016-03-29,sh510050
2016-03-30,sh510050
2016-03-31,sh510050
2016-04-01,sh510050
2016-04-05,sz159915
2016-04-06,sz159915
2016-04-07,sz159915
2016-04-08,sz159915
2016-04-11,sz159915
2016-04-12,sz159915
2016-04-13,sz159915
2016-04-14,sz159915
2016-04-15,sz159915
2016-04-18,sz159915
2016-04-19,sz159915
2016-04-20,sz159915
2016-04-21,sz159915
2016-04-22,sz159915
2016-04-25,sz159915
2016-04-26,sz159915
2016-04-27,sh510050
2016-04-28,空仓
2016-04-29,空仓
2016-05-03,空仓
2016-05-04,sh510050
2016-05-05,sz159915
2016-05-06,空仓
2016-05-09,空仓
2016-05-10,空仓
2016-05-11,空仓
2016-05-12,空仓
2016-05-13,空仓
2016-05-16,空仓
2016-05-17,空仓
2016-05-18,空仓
2016-05-19,空仓
2016-05-20,空仓
2016-05-23,空仓
2016-05-24,空仓
2016-05-25,空仓
2016-05-26,空仓
2016-05-27,空仓
2016-05-30,空仓
2016-05-31,sz159915
2016-06-01,sz159915
2016-06-02,sz159915
2016-06-03,sz159915
2016-06-06,sz159915
2016-06-07,sz159915
2016-06-08,sz159915
2016-06-13,sh511010
2016-06-14,sh511010
2016-06-15,sh511010
2016-06-16,sh511010
2016-06-17,sz159915
2016-06-20,sz159915
2016-06-21,sz159915
2016-06-22,sz159915
2016-06-23,sz159915
2016-06-24,sz159915
2016-06-27,sz159915
2016-06-28,sz159915
2016-06-29,sz159915
2016-06-30,sz159915
2016-07-01,sz159915
2016-07-04,sz159915
2016-07-05,sz159915
2016-07-06,sz159915
2016-07-07,sz159915
2016-07-08,sz159915
2016-07-11,sz159915
2016-07-12,sz159915
2016-07-13,sz159915
2016-07-14,sz159915
2016-07-15,sh510050
2016-07-18,sh510050
2016-07-19,sz159915
2016-07-20,sz159915
2016-07-21,sz159915
2016-07-22,sz159915
2016-07-25,sz159915
2016-07-26,sz159915
2016-07-27,sh510050
2016-07-28,sh510050
2016-07-29,sh510050
2016-08-01,sh510050
2016-08-02,sh510050
2016-08-03,sh510050
2016-08-04,sh510050
2016-08-05,sh510050
2016-08-08,sh510050
2016-08-09,sh510050
2016-08-10,sh510050
2016-08-11,sh510050
2016-08-12,sh510050
2016-08-15,sh510050
2016-08-16,sh510050
2016-08-17,sh510050
2016-08-18,sh510050
2016-08-19,sh510050
2016-08-22,sh510050
2016-08-23,sh510050
2016-08-24,sh510050
2016-08-25,sh510050
2016-08-26,sh510050
2016-08-29,sh510050
2016-08-30,sh510050
2016-08-31,sh510050
2016-09-01,sh510050
2016-09-02,sh510050
2016-09-05,sh510050
2016-09-06,sz159915
2016-09-07,sz159915
2016-09-08,sz159915
2016-09-09,sz159915
2016-09-12,sh510050
2016-09-13,sh510050
2016-09-14,sh510050
2016-09-19,sh510050
2016-09-20,sz159915
2016-09-21,sz159915
2016-09-22,sz159915
2016-09-23,sh511010
2016-09-26,空仓
