date,product
2015-01-05,sh510050
2015-01-27,sz159915
2015-04-10,sh510050
2015-04-13,sz159915
2015-04-15,sh510050
2015-04-23,sz159915
2015-04-28,sh510050
2015-05-04,sz159915
2015-06-25,空仓
2015-07-06,sh511010
2015-07-14,空仓
2015-07-15,sh511010
2015-08-10,sz159915
2015-08-17,sh511010
2015-08-19,sz159915
2015-08-20,空仓
2015-08-28,sh511010
2015-09-11,空仓
2015-09-23,sh511010
2015-09-30,sh510050
2015-10-09,sz159915
2015-12-02,sh510050
2015-12-03,sz159915
2015-12-11,sh511010
2015-12-17,sz159915
2015-12-21,sh510050
2015-12-22,sz159915
2015-12-24,sh511010
2016-02-02,空仓
2016-02-05,sh511010
2016-02-22,sz159915
2016-02-25,sh511010
2016-03-03,sh510050
2016-03-31,sz159915
2016-04-01,sh510050
2016-04-05,sz159915
2016-04-25,sh510050
2016-04-26,空仓
2016-05-03,sh510050
2016-05-05,sz159915
2016-05-06,空仓
2016-05-27,sh511010
2016-05-31,sz159915
2016-06-01,sh511010
2016-06-02,sz159915
2016-06-07,sh511010
2016-06-15,sz159915
2016-07-11,sh510050
2016-07-14,sz159915
2016-07-15,sh510050
2016-07-18,sz159915
2016-07-27,sh510050
2016-09-06,sz159915
2016-09-08,sh510050
2016-09-09,sz159915
2016-09-12,sh510050
2016-09-19,sz159915
2016-09-21,空仓
2016-09-27,sh511010
2016-10-10,sz159915
2016-10-14,sh511010
2016-10-18,sz159915
2016-10-19,sh511010
2016-10-24,sh510050
2016-12-15,空仓
2017-01-18,sh511010
2017-01-24,sh510050
2017-02-27,sz159915
2017-03-30,空仓
2017-04-05,sz159915
2017-04-10,sh510050
2017-04-14,空仓
2017-04-17,sh510050
2017-04-19,空仓
2017-04-28,sh510050
2017-05-02,空仓
2017-05-16,sh510050
2017-05-17,空仓
2017-05-22,sh510050
2017-07-03,sz159915
2017-07-10,sh510050
2017-08-16,sz159915
2017-09-21,sh510050
2017-09-27,sz159915
2017-10-16,sh510050
2017-10-17,空仓
2017-10-18,sh510050
2017-12-01,空仓
2017-12-04,sh511010
2017-12-05,sh510050
2017-12-07,sh511010
2017-12-08,sh510050
2017-12-12,sh511010
2017-12-13,空仓
2017-12-18,sh511010
2018-01-03,sh510050
2018-01-04,sz159915
2018-01-05,sh510050
2018-02-09,sh511010
2018-03-01,sz159915
2018-03-05,sh511010
2018-03-06,sz159915
2018-03-07,sh511010
2018-03-09,sz159915
2018-04-17,sh511010
2018-05-03,sz159915
2018-05-07,sh511010
2018-05-08,sz159915
2018-05-09,sh511010
2018-05-14,sh510050
2018-05-16,sh511010
2018-05-21,sz159915
2018-05-23,sh510050
2018-05-24,sz159915
2018-05-25,sh510050
2018-05-28,sh511010
2018-05-29,sh510050
2018-05-30,sh511010
2018-05-31,空仓
2018-06-04,sh510050
2018-06-11,空仓
2018-06-13,sh511010
2018-07-24,sz159915
2018-07-31,sh510050
2018-08-03,sh511010
2018-08-06,sh510050
2018-08-15,sh511010
2018-08-17,空仓
2018-08-21,sh510050
2018-08-24,空仓
2018-08-27,sh510050
2018-08-28,空仓
2018-08-29,sh511010
2018-08-30,空仓
2018-08-31,sh511010
2018-09-03,空仓
2018-09-07,sh510050
2018-09-11,空仓
2018-09-19,sh510050
2018-10-08,sh511010
2018-10-22,sh510050
2018-10-29,sh511010
2018-11-02,sh510050
2018-11-05,sh511010
2018-11-12,sz159915
2018-11-26,sh511010
2018-11-27,sz159915
2018-12-07,sh511010
2018-12-13,sz159915
