date,product
2015-01-05,sh510050
2015-01-19,sh511010
2015-01-20,sz159915
2015-04-15,sh510050
2015-04-29,sz159915
2015-05-05,sh510050
2015-05-06,sz159915
2015-06-19,空仓
2015-07-01,sh511010
2015-07-02,空仓
2015-07-07,sh511010
2015-08-04,sz159915
2015-08-12,sh511010
2015-08-13,sz159915
2015-08-17,空仓
2015-08-28,sh511010
2015-09-09,空仓
2015-09-15,sh511010
2015-09-24,sh510050
2015-09-28,sz159915
2015-09-30,sh511010
2015-10-08,sz159915
2015-12-02,sh510050
2015-12-04,sz159915
2015-12-08,sh511010
2015-12-16,sz159915
2015-12-21,sh510050
2015-12-24,sh511010
2015-12-25,sh510050
2015-12-30,sz159915
2016-01-04,sh511010
2016-01-27,空仓
2016-02-02,sh511010
2016-02-16,sz159915
2016-02-24,sh511010
2016-03-02,sh510050
2016-03-28,sz159915
2016-04-20,sh511010
2016-04-21,空仓
2016-04-25,sh510050
2016-04-29,空仓
2016-05-03,sh510050
2016-05-04,sz159915
2016-05-05,空仓
2016-05-23,sh511010
2016-05-31,sz159915
2016-06-01,sh511010
2016-06-03,sh510050
2016-06-06,sz159915
2016-07-07,sh510050
2016-07-08,sz159915
2016-07-11,sh510050
2016-07-12,sz159915
2016-07-18,sh510050
2016-07-19,sz159915
2016-07-25,sh510050
2016-08-02,sh511010
2016-08-08,sh510050
2016-08-10,sh511010
2016-08-12,sh510050
2016-08-29,sz159915
2016-08-31,sh510050
2016-09-06,sz159915
2016-09-07,sh510050
2016-09-08,sz159915
2016-09-13,空仓
2016-09-21,sh511010
2016-09-22,空仓
2016-09-26,sh511010
2016-10-10,sz159915
2016-10-14,sh511010
2016-10-20,sz159915
2016-10-21,sh510050
2016-12-13,空仓
2017-01-12,sh511010
2017-01-18,sh510050
2017-02-21,sz159915
2017-02-22,sh510050
2017-02-23,sz159915
2017-03-29,空仓
2017-03-31,sh510050
2017-04-14,sh511010
2017-04-18,空仓
2017-05-15,sh510050
2017-06-30,sz159915
2017-07-05,sh510050
2017-08-11,sh511010
2017-08-14,sz159915
2017-09-14,sh510050
2017-09-18,sz159915
2017-09-26,空仓
2017-09-27,sz159915
2017-10-12,sh510050
2017-10-13,sz159915
2017-10-16,sh510050
2017-12-01,sh511010
2017-12-05,sh510050
2017-12-06,空仓
