信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,当前资产,累计利润率
2015-04-29,sz159915,24400.0,2.723,66447.84412,2.748,67044.49488000001,596.6507600000186,0.008979234283696408,66710.27582,0.4039957511921001
2015-04-30,sh510050,21000.0,3.198,67164.7158,3.096,65009.498400000004,-2155.2174000000014,-0.03208853598692665,67306.92658000001,0.37190721520517345
2015-05-05,sz159915,24300.0,2.67,64887.4881,3.32,80667.9324,15780.444300000003,0.2431970286117456,65151.70918000001,0.6151042438169191
2015-06-18,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80932.15348000001,0.6151042438169191
2015-06-29,sh511010,700.0,105.95,74172.41649999999,105.888,74114.18784000001,-58.228659999978845,-0.0007850446668402512,80932.15348000001,0.6143191991500788
2015-06-30,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80873.92482000003,0.6143191991500788
2015-07-07,sh511010,700.0,107.299,75116.81093,108.45,75907.4085,790.5975699999981,0.010524908608496994,80873.92482000003,0.6248441077585758
2015-07-23,sh510050,29200.0,2.794,81592.95848,2.745,80145.9846,-1446.973880000005,-0.017734053366316973,81664.52239000003,0.6071100543922588
2015-07-24,sz159915,29200.0,2.74,80016.0008,2.466,71999.99928000002,-8016.001519999976,-0.10017998200179953,80217.54851000002,0.5069300723904593
2015-07-27,sh511010,600.0,108.099,64865.88594,108.721,65226.076740000004,360.19080000000395,0.005552854089330949,72201.54699000005,0.5124829264797902
2015-07-29,sz159915,28100.0,2.573,72308.53013,2.4,67433.256,-4875.274130000005,-0.06742322269910599,72561.73779000004,0.4450597037806842
2015-07-30,sh511010,600.0,108.266,64966.095960000006,108.18,64901.50920000001,-64.58675999999832,-0.0009941610165364525,67686.46366000004,0.4440655427641478
2015-07-31,sz159915,28500.0,2.368,67494.7488,2.459,70074.49185,2579.7430500000046,0.03822138900974774,67621.87690000003,0.48228693177389553
2015-08-07,sh511010,600.0,108.689,65219.92133999999,108.593,65149.28442,-70.63691999998991,-0.0010830574240001058,70201.61995000004,0.4812038743498954
2015-08-11,sz159915,27300.0,2.565,70031.50245,2.489,67942.90503,-2088.5974200000055,-0.02982368429823692,70130.98303000005,0.4513801900516585
