信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,当前资产,累计利润率
2015-01-05,sh510050,19000.0,2.622,49822.9818,2.361,44854.51410000001,-4968.467699999994,-0.0997224076219379,50000.0,-0.0997224076219379
2015-01-20,sz159915,27100.0,1.657,44909.19047,1.668,45198.27972,289.08924999999726,0.006437195749344739,45031.532300000006,-0.09328521187259317
2015-01-21,sh510050,18100.0,2.503,45308.83043,2.519,45589.34061,280.5101799999975,0.00619107086494701,45320.62155,-0.08709414100764616
2015-01-26,sz159915,27000.0,1.686,45526.5522,2.377,64172.58209999999,18646.029899999994,0.40956384788567396,45601.13173,0.3224697068780278
2015-04-08,sh510050,22100.0,2.898,64052.204580000005,2.877,63575.34183,-476.8627500000075,-0.007444907683144846,64247.161629999995,0.31502479919488297
2015-04-09,sz159915,25800.0,2.466,63629.162280000004,2.451,63229.476420000006,-399.6858599999978,-0.006281488639457187,63770.29887999999,0.30874331055542575
2015-04-13,sh510050,21100.0,2.991,63116.411009999996,3.212,67766.42268,4650.011670000007,0.07367357547093847,63370.61301999999,0.38241688602636426
2015-04-23,sz159915,26100.0,2.598,67814.58078,2.65,69158.08350000001,1343.502720000004,0.01981141377779087,68020.62469,0.40222829980415514
2015-04-27,sh510050,21300.0,3.255,69338.43315,3.22,68579.14140000001,-759.2917499999894,-0.01095051785144051,69364.12741,0.3912777819527146
2015-04-29,sz159915,25100.0,2.723,68354.13473,3.15,79057.0935,10702.958769999997,0.15658099999768657,68604.83566000001,0.5478587819504012
2015-06-19,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79307.79443000001,0.5478587819504012
2015-07-03,sh511010,700.0,105.907,74142.31349,107.042,74921.90706,779.5935699999973,0.01051482659905326,79307.79443000001,0.5583736085494544
2015-07-10,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80087.388,0.5583736085494544
2015-07-13,sh511010,700.0,107.184,75036.30288,108.689,76074.69176999999,1038.3888899999874,0.013838486840970908,80087.388,0.5722120953904253
2015-08-07,sz159915,32900.0,2.459,80909.19011000001,2.525,83064.19275,2155.0026399999915,0.026634831433489322,81125.77689,0.5988469268239146
2015-08-14,sh511010,700.0,108.358,75858.18506,108.018,75605.03874,-253.14631999999983,-0.003337099612912883,83280.77952999999,0.5955098272110018
2015-08-17,sz159915,33100.0,2.505,82923.79155,2.343,77545.54467,-5378.2468799999915,-0.06485770584618175,83027.63320999999,0.53065212136482
2015-08-18,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77649.38633,0.53065212136482
2015-08-26,sh511010,700.0,108.1,75677.567,108.45,75907.4085,229.84150000000955,0.003037115344894869,77649.38633,0.5336892367097148
2015-09-10,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77879.22783,0.5336892367097148
2015-09-21,sh511010,700.0,108.377,75871.48638999999,108.301,75803.11893,-68.36745999999403,-0.0009010955663708335,77879.22783,0.5327881411433439
