信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,当前资产,累计利润率
2015-01-05,sh510050,19000.0,2.622,49822.9818,2.478,47077.291800000006,-2745.689999999995,-0.0551089055854139,50000.0,-0.0551089055854139
2015-01-27,sz159915,27900.0,1.688,47099.909519999994,2.424,67622.83704,20522.927520000005,0.4357317822720099,47254.310000000005,0.380622876686596
2015-04-10,sh510050,23000.0,2.936,67534.7528,2.991,68786.1207,1251.3678999999975,0.01852924380586461,67777.23752000001,0.3991521204924606
2015-04-13,sz159915,28100.0,2.451,68879.98731000001,2.33,65466.4527,-3413.5346100000097,-0.049557712527401,69028.60542,0.34959440796505964
2015-04-15,sh510050,21700.0,3.011,65345.233870000004,3.212,69693.42996000001,4348.196090000005,0.0665419011071328,65615.07081,0.41613630907219246
2015-04-23,sz159915,26900.0,2.598,69893.18862,2.583,69475.75173000002,-417.43688999998267,-0.005972497438477613,69963.26690000002,0.41016381163371485
2015-04-28,sh510050,21500.0,3.228,69408.9402,3.211,69029.59635,-379.3438499999902,-0.005465345658742535,69545.83001000003,0.40469846597497233
2015-05-04,sz159915,25200.0,2.74,69054.9048,3.03,76348.3644,7293.459600000002,0.10561827028975937,69166.48616000004,0.5103167362647317
2015-06-25,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76459.94576000005,0.5103167362647317
2015-07-06,sh511010,700.0,106.59,74620.4613,107.08,74948.5044,328.0431000000099,0.0043961548117635385,76459.94576000005,0.5147128910764953
2015-07-14,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76787.98886000006,0.5147128910764953
2015-07-15,sh511010,700.0,107.333,75140.61331,108.663,76056.49359,915.8802799999976,0.01218888480749343,76787.98886000006,0.5269017758839888
2015-08-10,sz159915,29600.0,2.622,77618.96111999999,2.505,74140.5852,-3478.3759199999913,-0.04481348203852373,77703.86914000005,0.48208829384546503
2015-08-17,sh511010,600.0,108.018,64817.28108,107.698,64612.33811999999,-204.9429600000076,-0.0031618567854930393,74225.49322000006,0.478926437059972
2015-08-19,sz159915,30500.0,2.422,73878.38709999999,2.362,72033.7959,-1844.5911999999953,-0.024967940860744584,74020.55026000005,0.4539584961992274
2015-08-20,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72175.95906000005,0.4539584961992274
2015-08-28,sh511010,600.0,108.532,65125.711919999994,108.214,64921.90716,-203.8047599999918,-0.003129405483510787,72175.95906000005,0.45082909071571664
2015-09-11,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71972.15430000005,0.45082909071571664
2015-09-23,sh511010,600.0,108.321,64999.099259999995,108.691,65208.07854,208.97928000000684,0.003215110399669973,71972.15430000005,0.4540442011153866
2015-09-30,sh510050,33600.0,2.147,72146.41391999999,2.221,74618.13744,2471.723520000014,0.03425982506546757,72181.13358000005,0.4883040261808542
2015-10-09,sz159915,35400.0,2.103,74453.64462,2.454,86862.91284,12409.268219999998,0.16667106470522702,74652.85710000007,0.6549750908860812
2015-12-02,sh510050,35300.0,2.462,86917.29086000001,2.461,86864.61266999999,-52.67819000002055,-0.0006060726177587692,87062.12532000006,0.6543690182683224
2015-12-03,sz159915,33900.0,2.561,86826.58179,2.51,85080.4911,-1746.0906899999973,-0.020110093637258658,87009.44713000004,0.6342589246310637
2015-12-11,sh511010,700.0,108.759,76138.91313,108.821,76167.08253,28.16939999999886,0.0003699737603543443,85263.35644000005,0.634628898391418
2015-12-17,sz159915,31800.0,2.674,85041.70332,2.663,84674.93166,-366.7716599999985,-0.0043128447065540094,85291.52584000005,0.630316053684864
2015-12-21,sh510050,33900.0,2.499,84724.57161,2.49,84402.5589,-322.0127099999954,-0.0038007003621366017,84924.75418000005,0.6265153533227273
2015-12-22,sz159915,31800.0,2.656,84469.24608,2.624,83434.85568,-1034.3904000000039,-0.012245763375469728,84602.74147000005,0.6142695899472577
2015-12-24,sh511010,700.0,109.648,76761.27535999999,109.789,76844.61477,83.33941000001505,0.0010856960050385368,83568.35107000005,0.6153552859522962
2016-02-02,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83651.69048000006,0.6153552859522962
2016-02-05,sh511010,700.0,109.905,76941.19335,110.135,77086.79055,145.5972000000038,0.0018923179334858055,83651.69048000006,0.6172476038857819
2016-02-22,sz159915,39100.0,2.142,83760.57522,1.896,74126.18663999999,-9634.388580000013,-0.11502295148636413,83797.28768000007,0.5022246523994178
2016-02-25,sh511010,600.0,110.279,66174.01673999999,110.498,66292.17012000001,118.15338000001793,0.00178549506015702,74162.89910000005,0.5040101474595748
2016-03-03,sh510050,36100.0,2.053,74120.71133,2.156,77823.81684,3703.105509999994,0.049960469126005,74281.05248000007,0.5539706165855799
2016-03-31,sz159915,36700.0,2.119,77775.07673,2.097,76952.20401,-822.8727199999994,-0.010580159539496727,77984.15799000007,0.5433904570460831
2016-04-01,sh510050,35600.0,2.165,77081.7074,2.175,77422.257,340.54959999999846,0.004418033947182629,77161.28527000007,0.5478084909932658
2016-04-05,sz159915,35700.0,2.168,77405.33976,2.023,72213.87789,-5191.461869999999,-0.06706852377492876,77501.83487000006,0.480739967218337
2016-04-25,sh510050,33700.0,2.145,72293.72865,2.152,72515.14776,221.41911000000255,0.0030627706460123567,72310.37300000007,0.48380273786434935
2016-04-26,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72531.79211000007,0.48380273786434935
2016-05-03,sh510050,33500.0,2.159,72333.73265,2.151,72051.29415,-282.43850000000384,-0.003904658167809951,72531.79211000007,0.4798980796965394
2016-05-05,sz159915,34100.0,2.116,72162.81556,2.018,68806.91861999998,-3355.8969400000205,-0.04650451779018724,72249.35361000006,0.4333935619063522
