信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,当前资产,累计利润率
2015-01-05,sh510050,19000.0,2.622,49822.9818,2.478,47077.291800000006,-2745.689999999995,-0.0551089055854139,50000.0,-0.0551089055854139
2015-01-27,sz159915,27900.0,1.688,47099.909519999994,2.451,68376.06171000001,21276.152190000015,0.4517238442032578,47254.310000000005,0.3966149386178439
2015-04-13,sh510050,22900.0,2.991,68500.74939000001,2.999,68670.23229,169.48289999998815,0.0024741758522240326,68530.46219000002,0.39908911447006795
2015-04-14,sz159915,28100.0,2.44,68570.8564,2.33,65466.4527,-3104.4037000000026,-0.04527293172322115,68699.94509000001,0.3538161827468468
2015-04-15,sh510050,21700.0,3.011,65345.233870000004,3.212,69693.42996000001,4348.196090000005,0.0665419011071328,65595.54139,0.4203580838539796
2015-04-23,sz159915,26900.0,2.598,69893.18862,2.583,69475.75173000002,-417.43688999998267,-0.005972497438477613,69943.73748000001,0.414385586415502
2015-04-28,sh510050,21500.0,3.228,69408.9402,3.22,69223.077,-185.8631999999925,-0.002677799134584575,69526.30059000003,0.4117077872809174
2015-04-29,sz159915,25400.0,2.723,69171.11641999999,2.748,69792.22008000001,621.1036600000225,0.008979234283696453,69340.43739000004,0.42068702156461385
2015-04-30,sh510050,21800.0,3.198,69723.37164,3.096,67486.05072,-2237.3209199999983,-0.03208853598692661,69961.54105000006,0.3885984855776872
2015-05-05,sz159915,25300.0,2.67,67557.7551,3.199,80926.60653,13368.85143000001,0.1978877393159562,67724.22013000006,0.5864862248936434
2015-06-24,sh510050,26800.0,3.018,80890.48823999999,2.919,78221.37707999999,-2669.1111600000004,-0.03299660093632785,81093.07156000007,0.5534896239573156
2015-06-25,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78423.96040000007,0.5534896239573156
2015-07-07,sh511010,700.0,107.299,75116.81093,108.663,76056.49359,939.6826599999913,0.012509618664131849,78423.96040000007,0.5659992426214474
2015-08-10,sz159915,30200.0,2.622,79192.31843999999,2.343,70751.52414000001,-8440.79429999998,-0.10658602331986457,79363.64306000006,0.45941321930158285
2015-08-18,sh511010,600.0,107.635,64587.458099999996,107.713,64621.337219999994,33.87911999999778,0.0005245464211881994,70922.84876000008,0.45993776572277106
2015-08-21,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70956.72788000008,0.45993776572277106
2015-08-27,sh511010,600.0,108.378,65033.30268,108.389,65026.89666,-6.406020000002172,-9.850368558895666e-05,70956.72788000008,0.4598392620371821
2015-09-14,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70950.32186000008,0.4598392620371821
2015-09-24,sh511010,600.0,108.315,64995.4989,108.579,65140.885259999995,145.38635999999678,0.002236868128725092,70950.32186000008,0.4620761301659072
2015-10-08,sh510050,32300.0,2.196,70937.89308000001,2.288,73895.00976,2957.116679999992,0.041685995334892624,71095.70822000009,0.5037621255007998
2015-10-12,sz159915,33300.0,2.22,73933.39259999999,2.454,81710.02818000001,7776.6355800000165,0.10518434643022208,74052.82490000008,0.6089464719310219
2015-12-02,sh510050,33200.0,2.462,81746.57384000001,2.461,81697.02948,-49.54436000001442,-0.0006060726177587091,81829.4604800001,0.6083403993132632
2015-12-03,sz159915,31900.0,2.561,81704.06959,2.555,81496.34955,-207.72004000000015,-0.0025423463120302593,81779.91612000008,0.605798053001233
2015-12-14,sh511010,700.0,108.63,76048.6041,109.521,76657.03353,608.4294300000038,0.008000533832283765,81572.19608000008,0.6137985868335167
2015-12-21,sz159915,30800.0,2.663,82028.60204,2.656,81796.61952000001,-231.98251999999047,-0.002828068676421765,82180.62551000009,0.610970518157095
2015-12-22,sh510050,32900.0,2.49,81929.1921,2.478,81518.04738000002,-411.14471999998204,-0.005018293351387534,81948.6429900001,0.6059522248057075
2015-12-24,sz159915,31000.0,2.624,81352.1344,2.62,81211.878,-140.2563999999984,-0.0017240653983381952,81537.49827000011,0.6042281594073693
