date,open,close
2013-04-09,100.3,100.267
2013-04-10,100.28,100.296
2013-04-11,100.3,100.302
2013-04-12,100.304,100.352
2013-04-15,100.39,100.425
2013-04-16,100.5,100.516
2013-04-17,100.57,100.601
2013-04-18,100.601,100.359
2013-04-19,100.216,100.11
2013-04-22,100.065,99.859
2013-04-23,99.8,100.145
2013-04-24,100.14,100.154
2013-04-25,100.154,100.289
2013-04-26,100.291,100.357
2013-05-02,100.4,100.497
2013-05-03,100.591,100.503
2013-05-06,100.5,100.481
2013-05-07,100.508,100.53
2013-05-08,100.59,100.52
2013-05-09,100.53,100.519
2013-05-10,100.514,100.552
2013-05-13,100.55,100.521
2013-05-14,100.533,100.513
2013-05-15,100.512,100.474
2013-05-16,100.474,100.351
2013-05-17,100.4,100.456
2013-05-20,100.45,100.428
2013-05-21,100.409,100.35
2013-05-22,100.355,100.371
2013-05-23,100.381,100.364
2013-05-24,100.371,100.38
2013-05-27,100.389,100.484
2013-05-28,100.49,100.49
2013-05-29,100.501,100.485
2013-05-30,100.48,100.511
2013-05-31,100.51,100.503
2013-06-03,100.285,100.209
2013-06-04,100.203,100.205
2013-06-05,100.192,100.18
2013-06-06,100.18,100.183
2013-06-07,100.19,100.206
2013-06-13,100.208,100.211
2013-06-14,100.22,100.17
2013-06-17,100.161,100.141
2013-06-18,100.142,100.088
2013-06-19,100.061,99.771
2013-06-20,99.802,98.86
2013-06-21,98.81,99.031
2013-06-24,99.09,99.059
2013-06-25,99.15,99.624
2013-06-26,99.56,100.033
2013-06-27,100.066,100.133
2013-06-28,100.166,100.168
2013-07-01,100.196,100.161
2013-07-02,100.199,100.168
2013-07-03,100.168,100.111
2013-07-04,100.111,100.108
2013-07-05,100.137,100.168
2013-07-08,100.171,100.205
2013-07-09,100.22,100.075
2013-07-10,100.09,100.013
2013-07-11,100.008,99.439
2013-07-12,99.45,99.285
2013-07-15,99.286,99.387
2013-07-16,99.385,99.33
2013-07-17,99.33,99.157
2013-07-18,99.15,99.145
2013-07-19,99.121,99.174
2013-07-22,99.174,99.106
2013-07-23,99.115,99.114
2013-07-24,99.119,99.003
2013-07-25,98.95,98.95
2013-07-26,98.988,99.019
2013-07-29,99.05,99.08
2013-07-30,99.08,99.195
2013-07-31,99.245,99.382
2013-08-01,99.401,99.481
2013-08-02,99.55,99.28
2013-08-05,99.292,99.28
2013-08-06,99.296,99.29
2013-08-07,99.34,98.946
2013-08-08,98.996,98.79
2013-08-09,98.75,98.761
2013-08-12,98.76,98.64
2013-08-13,98.65,98.47
2013-08-14,98.47,98.201
2013-08-15,98.201,98.232
2013-08-16,98.235,98.437
2013-08-19,98.449,98.004
2013-08-20,98.004,98.047
2013-08-21,98.034,98.081
2013-08-22,98.088,98.002
2013-08-23,98.083,98.258
2013-08-26,98.258,98.303
2013-08-27,98.38,98.306
2013-08-28,98.316,97.966
2013-08-29,97.972,98.015
2013-08-30,98.05,98.137
2013-09-02,98.09,98.124
2013-09-03,98.12,98.073
2013-09-04,98.073,98.014
2013-09-05,98.005,97.957
2013-09-06,97.967,97.905
2013-09-09,97.888,97.824
2013-09-10,97.831,97.737
2013-09-11,97.72,97.402
2013-09-12,97.28,97.351
2013-09-13,97.398,97.411
2013-09-16,97.5,97.708
2013-09-17,97.521,97.759
2013-09-18,97.759,97.907
2013-09-23,97.911,97.948
2013-09-24,97.98,97.788
2013-09-25,97.82,97.887
2013-09-26,97.85,98.129
2013-09-27,98.1,98.091
2013-09-30,98.092,98.138
2013-10-08,98.141,98.186
2013-10-09,98.193,98.259
2013-10-10,98.259,98.201
2013-10-11,98.28,98.187
2013-10-14,98.187,98.005
2013-10-15,98.016,97.991
2013-10-16,97.996,98.069
2013-10-17,98.077,97.873
2013-10-18,97.873,97.884
2013-10-21,97.878,97.854
2013-10-22,97.791,97.809
2013-10-23,97.802,97.85
2013-10-24,97.8,97.687
2013-10-25,97.67,97.592
2013-10-28,97.768,97.577
2013-10-29,97.688,97.489
2013-10-30,97.496,97.438
2013-10-31,97.515,97.737
2013-11-01,97.74,97.817
2013-11-04,97.828,97.702
2013-11-05,97.723,97.575
2013-11-06,97.581,97.298
2013-11-07,97.299,96.819
2013-11-08,96.733,96.436
2013-11-11,96.15,96.0
2013-11-12,96.02,96.213
2013-11-13,96.213,95.791
2013-11-14,95.801,96.156
2013-11-15,96.256,95.784
2013-11-18,95.785,95.614
2013-11-19,95.693,95.9
2013-11-20,95.946,95.98
2013-11-21,96.08,96.17
2013-11-22,96.183,96.523
2013-11-25,96.555,96.442
2013-11-26,96.59,96.4
2013-11-27,96.44,96.611
2013-11-28,96.6,96.614
2013-11-29,96.644,96.617
2013-12-02,96.62,95.93
2013-12-03,95.99,96.286
2013-12-04,96.4,96.378
2013-12-05,96.33,96.471
2013-12-06,96.568,96.424
2013-12-09,96.433,96.208
2013-12-10,96.155,95.971
2013-12-11,95.84,95.965
2013-12-12,96.0,96.215
2013-12-13,96.23,96.247
2013-12-16,96.468,96.151
2013-12-17,96.288,96.107
2013-12-18,96.151,96.024
2013-12-19,95.997,95.876
2013-12-20,95.925,95.9
2013-12-23,95.923,96.017
2013-12-24,96.058,95.993
2013-12-25,96.005,96.089
2013-12-26,96.14,96.147
2013-12-27,96.155,96.043
2013-12-30,96.035,96.053
2013-12-31,96.06,96.278
2014-01-02,96.213,96.106
2014-01-03,96.098,95.851
2014-01-06,95.89,95.663
2014-01-07,95.689,95.833
2014-01-08,95.705,96.096
2014-01-09,96.1,96.001
2014-01-10,96.119,96.067
2014-01-13,96.399,96.18
2014-01-14,96.192,96.099
2014-01-15,96.081,96.174
2014-01-16,96.449,96.172
2014-01-17,96.171,96.03
2014-01-20,96.169,95.979
2014-01-21,96.1,96.328
2014-01-22,96.42,96.62
2014-01-23,96.62,96.694
2014-01-24,96.694,96.626
2014-01-27,96.626,97.045
2014-01-28,97.0,97.001
2014-01-29,97.001,96.965
2014-01-30,96.836,97.0
2014-02-07,97.0,97.061
2014-02-10,97.065,97.07
2014-02-11,97.07,97.122
2014-02-12,97.139,97.123
